State,Overall student enrollment,White student enrollment,Black student enrollment, All students suspended , White students suspended , Black students suspended , All students arrested , White students arrested , Black students arrested ,Black enrollment,Suspensions - black,Arrests - black,"Suspensions per 1,000 white students","Suspensions per 1,000 black students",Suspension rate factor,"Arrests per 10,000 white students","Arrests per 10,000 black students",Arrest rate factor
ALABAMA," 746,839 "," 413,544 "," 249,465 "," 61,863 "," 18,232 "," 40,349 "," 1,077 ", 311 , 673 ,33.4%,65.2%,62.5%, 44.09 , 161.74 , 3.67 , 7.52 , 26.98 , 3.59 
ALASKA," 132,342 "," 62,933 "," 4,268 "," 7,988 "," 2,368 ", 525 , 4 , 2 , -   ,3.2%,6.6%,0.0%, 37.63 , 123.01 , 3.27 , 0.32 , -   , -   
ARIZONA," 1,134,663 "," 448,496 "," 60,378 "," 63,453 "," 18,204 "," 8,383 "," 1,640 ", 420 , 169 ,5.3%,13.2%,10.3%, 40.59 , 138.84 , 3.42 , 9.36 , 27.99 , 2.99 
ARKANSAS," 485,821 "," 300,960 "," 98,416 "," 34,367 "," 13,791 "," 16,211 ", 751 , 320 , 257 ,20.3%,47.2%,34.2%, 45.82 , 164.72 , 3.59 , 10.63 , 26.11 , 2.46 
CALIFORNIA," 6,282,366 "," 1,509,452 "," 366,368 "," 242,257 "," 50,838 "," 41,740 "," 3,424 ", 598 , 659 ,5.8%,17.2%,19.2%, 33.68 , 113.93 , 3.38 , 3.96 , 17.99 , 4.54 
COLORADO," 901,978 "," 486,799 "," 42,034 "," 45,325 "," 17,808 "," 5,073 ", 347 , 132 , 46 ,4.7%,11.2%,13.3%, 36.58 , 120.69 , 3.30 , 2.71 , 10.94 , 4.04 
CONNECTICUT," 537,516 "," 300,059 "," 69,011 "," 22,087 "," 5,401 "," 7,515 "," 1,752 ", 513 , 486 ,12.8%,34.0%,27.7%, 18.00 , 108.90 , 6.05 , 17.10 , 70.42 , 4.12 
DELAWARE," 139,175 "," 63,419 "," 43,316 "," 12,721 "," 3,099 "," 7,307 ", 465 , 158 , 229 ,31.1%,57.4%,49.2%, 48.87 , 168.69 , 3.45 , 24.91 , 52.87 , 2.12 
FLORIDA," 2,784,084 "," 1,094,215 "," 627,317 "," 160,258 "," 48,326 "," 66,736 "," 1,925 ", 522 , 842 ,22.5%,41.6%,43.7%, 44.16 , 106.38 , 2.41 , 4.77 , 13.42 , 2.81 
GEORGIA," 1,769,640 "," 724,613 "," 653,696 "," 132,928 "," 26,850 "," 86,629 "," 3,980 ", 980 ," 2,339 ",36.9%,65.2%,58.8%, 37.05 , 132.52 , 3.58 , 13.52 , 35.78 , 2.65 
HAWAII," 182,913 "," 23,452 "," 3,624 "," 7,300 ", 767 , 198 , 672 , 77 , 14 ,2.0%,2.7%,2.1%, 32.71 , 54.64 , 1.67 , 32.83 , 38.63 , 1.18 
IDAHO," 297,049 "," 224,927 "," 3,406 "," 7,054 "," 4,719 ", 187 , 138 , 96 , 2 ,1.1%,2.7%,1.4%, 20.98 , 54.90 , 2.62 , 4.27 , 5.87 , 1.38 
ILLINOIS," 2,032,308 "," 989,602 "," 351,582 "," 90,993 "," 25,710 "," 41,834 "," 3,617 "," 1,056 "," 1,471 ",17.3%,46.0%,40.7%, 25.98 , 118.99 , 4.58 , 10.67 , 41.84 , 3.92 
